year,y,k_NR,k_ME,phi,s_ME,omega,omega_kME,k_CL,c_t,ECT_m,ECT_m_lag1,ECT_theta,theta_CL,g_Y,g_K_CL,g_Yp,g_mu,mu_CL
1978,16.5959837015192,18.20282962904938,17.491038779758487,0.4907645247143309,0.3292032487883183,0.4455660672071336,7.7934133604644495,18.602118721249106,-0.7117908492908924,-0.5884718118212344,-0.3753101214095409,-0.0197118095130433,0.8350909179744689,0.07897192763046235,0.025431114126625687,0.021237292441117328,0.05773463518934502,0.9063797521944246
1979,16.67554930097866,18.22339665023136,17.53880045383097,0.5042938241273963,0.33523625241227323,0.4299995843258176,7.541676904720777,18.63172021846521,-0.6845961964003919,-0.5898949072034174,-0.5884718118212344,0.034215118377815656,0.8260299139450472,0.0795655994594604,0.029601497216106054,0.02445172219806464,0.05511387726139576,0.9577360786649581
1980,16.752000091985146,18.251671698961516,17.604331606832698,0.5234362188358552,0.3435891915684156,0.4640163206762214,8.168697180166621,18.672640152636006,-0.6473400921288182,-0.24028247879501663,-0.5898949072034174,0.1006862197210836,0.8129964213154136,0.07645079100648644,0.04091993417079465,0.03326776004131835,0.04318303096516809,1
1981,16.8122688938105,18.29474387714653,17.682954505641963,0.5423794818578844,0.35165112622255423,0.5415162292349118,9.57560684562773,18.728070219194827,-0.6117893715045675,0.4893057191032746,-0.24028247879501663,0.15376445224354285,0.7999947522549572,0.06026880182535521,0.0554300665588201,0.044343762364199076,0.015925039461156136,1.0160525187070861
1982,16.66622576458749,18.315654048934828,17.69800494058507,0.539210574373371,0.35031631366805627,0.6064176749716583,10.73238300770652,18.746923719885604,-0.6176491083497595,0.5422772391711472,0.4893057191032746,0.012477471227548165,0.8014419470018805,-0.14604312922300977,0.018853500690777736,0.015109986301418209,-0.161153115524428,0.8648250247284394
1983,16.63780534237784,18.33590858186021,17.689615722121665,0.5239846653238024,0.3438254184877059,0.5702478847140596,10.087465946944452,18.75723697695055,-0.6462928597385442,0.09983550248867168,0.5422772391711472,-0.06125848614870044,0.8116869275284977,-0.028420422209652685,0.010313257064947123,0.008371135939858502,-0.03679155814951118,0.833584973470318
1984,16.69499388609253,18.370415067354845,17.68685331819231,0.5048157593915361,0.33546682126432203,0.5647610479727213,9.988845815322092,18.779085539052918,-0.6835617491625356,0.19758038866128655,0.09983550248867168,-0.05325146322674712,0.8245035855176353,0.057188543714691065,0.021848562102366742,0.018014217791806102,0.03917432592288496,0.8668881589356858
1985,16.71448548695257,18.405139275243567,17.690905879840734,0.48956727249971904,0.32866409026169835,0.4814043627812959,8.51647927210861,18.80362493187942,-0.7142333954028324,-0.5672229077918765,0.19758038866128655,-0.11773718436622715,0.8356066767370934,0.019491600860039426,0.024539392826500972,0.020505280488898547,-0.001013679628859121,0.8660098573019186
1986,16.768937942973665,18.43820238827759,17.691177858632898,0.47377415852166016,0.3214699862812783,0.4775327906453508,8.448117532636209,18.82602895356342,-0.7470245296446905,-0.4696011645362077,-0.5672229077918765,-0.1092164662090287,0.8466123205098173,0.05445245602109594,0.02240402168400024,0.01896752078664371,0.03548493523445223,0.897291899206622
1987,16.831647050468604,18.47672638410554,17.7122595274152,0.46558208679179913,0.31767724987071266,0.4465858348198765,7.9100442075970285,18.85897887652848,-0.7644668566903405,-0.5673429634280875,-0.4696011645362077,-0.10828751744591081,0.8526525775844018,0.06270910749493908,0.032949922965059386,0.028094836747365362,0.034614270747573714,0.9288948043535091
