"asset_family","asset_label","metadata_only","age","mean_life_years","weibull_alpha","weibull_lambda","survival_probability","retirement_mass_from_prior_age"
"NRC","Nonresidential Structures",FALSE,15,30,1.6,33.4606966397767,0.758049526838959,0.0222670940671104
"NRC","Nonresidential Structures",FALSE,16,30,1.6,33.4606966397767,0.735547811275237,0.0225017155637228
"NRC","Nonresidential Structures",FALSE,17,30,1.6,33.4606966397767,0.712892316021791,0.0226554952534453
"NRC","Nonresidential Structures",FALSE,18,30,1.6,33.4606966397767,0.690158205617672,0.0227341104041191
"NRC","Nonresidential Structures",FALSE,19,30,1.6,33.4606966397767,0.667415241366482,0.0227429642511902
"NRC","Nonresidential Structures",FALSE,20,30,1.6,33.4606966397767,0.644728018563486,0.0226872228029963
"NRC","Nonresidential Structures",FALSE,21,30,1.6,33.4606966397767,0.622156178665666,0.0225718398978193
"NRC","Nonresidential Structures",FALSE,22,30,1.6,33.4606966397767,0.599754604631668,0.0224015740339983
"NRC","Nonresidential Structures",FALSE,23,30,1.6,33.4606966397767,0.577573605198189,0.0221809994334787
"NRC","Nonresidential Structures",FALSE,24,30,1.6,33.4606966397767,0.555659092112751,0.0219145130854383
"NRC","Nonresidential Structures",FALSE,25,30,1.6,33.4606966397767,0.534052753086642,0.0216063390261088
"NRC","Nonresidential Structures",FALSE,26,30,1.6,33.4606966397767,0.512792222319413,0.0212605307672294
"NRC","Nonresidential Structures",FALSE,27,30,1.6,33.4606966397767,0.491911249778873,0.0208809725405397
"NRC","Nonresidential Structures",FALSE,28,30,1.6,33.4606966397767,0.471439869930669,0.0204713798482043
"NRC","Nonresidential Structures",FALSE,29,30,1.6,33.4606966397767,0.451404570252012,0.0200352996786565
"NRC","Nonresidential Structures",FALSE,30,30,1.6,33.4606966397767,0.431828459601726,0.0195761106502867
"NRC","Nonresidential Structures",FALSE,31,30,1.6,33.4606966397767,0.412731436329341,0.0190970232723846
"NRC","Nonresidential Structures",FALSE,32,30,1.6,33.4606966397767,0.394130355872054,0.0186010804572866
"NRC","Nonresidential Structures",FALSE,33,30,1.6,33.4606966397767,0.376039197496825,0.0180911583752293
"NRC","Nonresidential Structures",FALSE,34,30,1.6,33.4606966397767,0.358469229786067,0.0175699677107578
"NRC","Nonresidential Structures",FALSE,35,30,1.6,33.4606966397767,0.341429174431758,0.0170400553543096
"NRC","Nonresidential Structures",FALSE,36,30,1.6,33.4606966397767,0.324925367888642,0.0165038065431154
"NRC","Nonresidential Structures",FALSE,37,30,1.6,33.4606966397767,0.308961920438115,0.0159634474505273
"NRC","Nonresidential Structures",FALSE,38,30,1.6,33.4606966397767,0.29354087222673,0.0154210482113847
"NRC","Nonresidential Structures",FALSE,39,30,1.6,33.4606966397767,0.278662345864433,0.0148785263622974
"NRC","Nonresidential Structures",FALSE,40,30,1.6,33.4606966397767,0.264324695195186,0.0143376506692469
"NRC","Nonresidential Structures",FALSE,41,30,1.6,33.4606966397767,0.250524649884965,0.0138000453102208
"NRC","Nonresidential Structures",FALSE,42,30,1.6,33.4606966397767,0.237257455507607,0.0132671943773577
"NRC","Nonresidential Structures",FALSE,43,30,1.6,33.4606966397767,0.224517008846554,0.0127404466610533
