"stage_id","year","ME_support_status","NRC_support_status","CORE_support_status","core_status_rule"
"S29E_STOCK_FLOW_CONSISTENT_CORE_CAPITAL_AGGREGATION",1954,"fully_supported","fully_supported","fully_supported","CORE fully_supported iff ME fully_supported AND NRC fully_supported"
"S29E_STOCK_FLOW_CONSISTENT_CORE_CAPITAL_AGGREGATION",1955,"fully_supported","fully_supported","fully_supported","CORE fully_supported iff ME fully_supported AND NRC fully_supported"
"S29E_STOCK_FLOW_CONSISTENT_CORE_CAPITAL_AGGREGATION",1956,"fully_supported","fully_supported","fully_supported","CORE fully_supported iff ME fully_supported AND NRC fully_supported"
"S29E_STOCK_FLOW_CONSISTENT_CORE_CAPITAL_AGGREGATION",1957,"fully_supported","fully_supported","fully_supported","CORE fully_supported iff ME fully_supported AND NRC fully_supported"
"S29E_STOCK_FLOW_CONSISTENT_CORE_CAPITAL_AGGREGATION",1958,"fully_supported","fully_supported","fully_supported","CORE fully_supported iff ME fully_supported AND NRC fully_supported"
"S29E_STOCK_FLOW_CONSISTENT_CORE_CAPITAL_AGGREGATION",1959,"fully_supported","fully_supported","fully_supported","CORE fully_supported iff ME fully_supported AND NRC fully_supported"
"S29E_STOCK_FLOW_CONSISTENT_CORE_CAPITAL_AGGREGATION",1960,"fully_supported","fully_supported","fully_supported","CORE fully_supported iff ME fully_supported AND NRC fully_supported"
"S29E_STOCK_FLOW_CONSISTENT_CORE_CAPITAL_AGGREGATION",1961,"fully_supported","fully_supported","fully_supported","CORE fully_supported iff ME fully_supported AND NRC fully_supported"
"S29E_STOCK_FLOW_CONSISTENT_CORE_CAPITAL_AGGREGATION",1962,"fully_supported","fully_supported","fully_supported","CORE fully_supported iff ME fully_supported AND NRC fully_supported"
"S29E_STOCK_FLOW_CONSISTENT_CORE_CAPITAL_AGGREGATION",1963,"fully_supported","fully_supported","fully_supported","CORE fully_supported iff ME fully_supported AND NRC fully_supported"
"S29E_STOCK_FLOW_CONSISTENT_CORE_CAPITAL_AGGREGATION",1964,"fully_supported","fully_supported","fully_supported","CORE fully_supported iff ME fully_supported AND NRC fully_supported"
"S29E_STOCK_FLOW_CONSISTENT_CORE_CAPITAL_AGGREGATION",1965,"fully_supported","fully_supported","fully_supported","CORE fully_supported iff ME fully_supported AND NRC fully_supported"
